Column1,Country,Year,Series,Value
Angola1995,Angola,1995,Net imports [Imports - Exports - Bunkers] (petajoules),-1224
Angola2000,Angola,2000,Net imports [Imports - Exports - Bunkers] (petajoules),-1475
Angola2005,Angola,2005,Net imports [Imports - Exports - Bunkers] (petajoules),-2565
Angola2010,Angola,2010,Net imports [Imports - Exports - Bunkers] (petajoules),-3547
Angola2013,Angola,2013,Net imports [Imports - Exports - Bunkers] (petajoules),-3421
Angola2014,Angola,2014,Net imports [Imports - Exports - Bunkers] (petajoules),-3280
Angola2015,Angola,2015,Net imports [Imports - Exports - Bunkers] (petajoules),-3534
Angola1995,Angola,1995,Changes in stocks (petajoules),17
Angola2000,Angola,2000,Changes in stocks (petajoules),21
Angola2005,Angola,2005,Changes in stocks (petajoules),5
Angola2010,Angola,2010,Changes in stocks (petajoules),1
Angola2013,Angola,2013,Changes in stocks (petajoules),0
Angola2014,Angola,2014,Changes in stocks (petajoules),8
Angola2015,Angola,2015,Changes in stocks (petajoules),1
Angola1990,Angola,1990,Total supply (petajoules),238
Angola1995,Angola,1995,Total supply (petajoules),343
Angola2000,Angola,2000,Total supply (petajoules),308
Angola2005,Angola,2005,Total supply (petajoules),363
Angola2010,Angola,2010,Total supply (petajoules),509
Angola2013,Angola,2013,Total supply (petajoules),581
Angola2014,Angola,2014,Total supply (petajoules),613
Angola2015,Angola,2015,Total supply (petajoules),602
Angola1990,Angola,1990,Supply per capita (gigajoules),23
Angola1995,Angola,1995,Supply per capita (gigajoules),28
Angola2000,Angola,2000,Supply per capita (gigajoules),22
Angola2005,Angola,2005,Supply per capita (gigajoules),22
Angola2010,Angola,2010,Supply per capita (gigajoules),24
Angola2013,Angola,2013,Supply per capita (gigajoules),25
Angola2014,Angola,2014,Supply per capita (gigajoules),25
Angola2015,Angola,2015,Supply per capita (gigajoules),24
Anguilla1990,Anguilla,1990,Primary energy production (petajoules),0
Anguilla1995,Anguilla,1995,Primary energy production (petajoules),0
Anguilla2000,Anguilla,2000,Primary energy production (petajoules),0
Anguilla2005,Anguilla,2005,Primary energy production (petajoules),0
Anguilla2010,Anguilla,2010,Primary energy production (petajoules),0
Anguilla2013,Anguilla,2013,Primary energy production (petajoules),0
Anguilla2014,Anguilla,2014,Primary energy production (petajoules),0
Anguilla2015,Anguilla,2015,Primary energy production (petajoules),0
Anguilla1990,Anguilla,1990,Net imports [Imports - Exports - Bunkers] (petajoules),1
Anguilla1995,Anguilla,1995,Net imports [Imports - Exports - Bunkers] (petajoules),1
Anguilla2000,Anguilla,2000,Net imports [Imports - Exports - Bunkers] (petajoules),1
Anguilla2005,Anguilla,2005,Net imports [Imports - Exports - Bunkers] (petajoules),2
Anguilla2010,Anguilla,2010,Net imports [Imports - Exports - Bunkers] (petajoules),2
Anguilla2013,Anguilla,2013,Net imports [Imports - Exports - Bunkers] (petajoules),2
Anguilla2014,Anguilla,2014,Net imports [Imports - Exports - Bunkers] (petajoules),2
Anguilla2015,Anguilla,2015,Net imports [Imports - Exports - Bunkers] (petajoules),2
Anguilla1990,Anguilla,1990,Total supply (petajoules),1
Anguilla1995,Anguilla,1995,Total supply (petajoules),1
Anguilla2000,Anguilla,2000,Total supply (petajoules),1
Anguilla2005,Anguilla,2005,Total supply (petajoules),2
Anguilla2010,Anguilla,2010,Total supply (petajoules),2
Anguilla2013,Anguilla,2013,Total supply (petajoules),2
Anguilla2014,Anguilla,2014,Total supply (petajoules),2
Anguilla2015,Anguilla,2015,Total supply (petajoules),2
Anguilla1990,Anguilla,1990,Supply per capita (gigajoules),87
Anguilla1995,Anguilla,1995,Supply per capita (gigajoules),94
Anguilla2000,Anguilla,2000,Supply per capita (gigajoules),117
Anguilla2005,Anguilla,2005,Supply per capita (gigajoules),132
Anguilla2010,Anguilla,2010,Supply per capita (gigajoules),155
Anguilla2013,Anguilla,2013,Supply per capita (gigajoules),118
Anguilla2014,Anguilla,2014,Supply per capita (gigajoules),136
Anguilla2015,Anguilla,2015,Supply per capita (gigajoules),151
Antigua and Barbuda2010,Antigua and Barbuda,2010,Primary energy production (petajoules),0
Antigua and Barbuda1990,Antigua and Barbuda,1990,Net imports [Imports - Exports - Bunkers] (petajoules),5
Antigua and Barbuda1995,Antigua and Barbuda,1995,Net imports [Imports - Exports - Bunkers] (petajoules),4
Antigua and Barbuda2000,Antigua and Barbuda,2000,Net imports [Imports - Exports - Bunkers] (petajoules),5
Antigua and Barbuda2005,Antigua and Barbuda,2005,Net imports [Imports - Exports - Bunkers] (petajoules),7
Antigua and Barbuda2010,Antigua and Barbuda,2010,Net imports [Imports - Exports - Bunkers] (petajoules),8
Antigua and Barbuda2013,Antigua and Barbuda,2013,Net imports [Imports - Exports - Bunkers] (petajoules),8
Antigua and Barbuda2014,Antigua and Barbuda,2014,Net imports [Imports - Exports - Bunkers] (petajoules),8
Antigua and Barbuda2015,Antigua and Barbuda,2015,Net imports [Imports - Exports - Bunkers] (petajoules),8
Antigua and Barbuda1990,Antigua and Barbuda,1990,Total supply (petajoules),4
Antigua and Barbuda1995,Antigua and Barbuda,1995,Total supply (petajoules),4
Antigua and Barbuda2000,Antigua and Barbuda,2000,Total supply (petajoules),5
Antigua and Barbuda2005,Antigua and Barbuda,2005,Total supply (petajoules),6
Antigua and Barbuda2010,Antigua and Barbuda,2010,Total supply (petajoules),8
Antigua and Barbuda2013,Antigua and Barbuda,2013,Total supply (petajoules),8
Antigua and Barbuda2014,Antigua and Barbuda,2014,Total supply (petajoules),8
Antigua and Barbuda2015,Antigua and Barbuda,2015,Total supply (petajoules),8
Antigua and Barbuda1990,Antigua and Barbuda,1990,Supply per capita (gigajoules),68
Antigua and Barbuda1995,Antigua and Barbuda,1995,Supply per capita (gigajoules),60
Antigua and Barbuda2000,Antigua and Barbuda,2000,Supply per capita (gigajoules),65
Antigua and Barbuda2005,Antigua and Barbuda,2005,Supply per capita (gigajoules),75
Antigua and Barbuda2010,Antigua and Barbuda,2010,Supply per capita (gigajoules),86
Antigua and Barbuda2013,Antigua and Barbuda,2013,Supply per capita (gigajoules),84
Antigua and Barbuda2014,Antigua and Barbuda,2014,Supply per capita (gigajoules),84
Antigua and Barbuda2015,Antigua and Barbuda,2015,Supply per capita (gigajoules),85
Argentina1990,Argentina,1990,Primary energy production (petajoules),2064
Argentina1995,Argentina,1995,Primary energy production (petajoules),2722
Argentina2000,Argentina,2000,Primary energy production (petajoules),3404
Argentina2005,Argentina,2005,Primary energy production (petajoules),3609
Argentina2010,Argentina,2010,Primary energy production (petajoules),3343
Argentina2013,Argentina,2013,Primary energy production (petajoules),2981
Argentina2014,Argentina,2014,Primary energy production (petajoules),3065
Argentina2015,Argentina,2015,Primary energy production (petajoules),3100
Argentina1990,Argentina,1990,Net imports [Imports - Exports - Bunkers] (petajoules),-144
Argentina1995,Argentina,1995,Net imports [Imports - Exports - Bunkers] (petajoules),-535
Argentina2000,Argentina,2000,Net imports [Imports - Exports - Bunkers] (petajoules),-866
Argentina2005,Argentina,2005,Net imports [Imports - Exports - Bunkers] (petajoules),-683
Argentina2010,Argentina,2010,Net imports [Imports - Exports - Bunkers] (petajoules),-21
Argentina2013,Argentina,2013,Net imports [Imports - Exports - Bunkers] (petajoules),403
Argentina2014,Argentina,2014,Net imports [Imports - Exports - Bunkers] (petajoules),460
Argentina2015,Argentina,2015,Net imports [Imports - Exports - Bunkers] (petajoules),497
Argentina1990,Argentina,1990,Changes in stocks (petajoules),-8
Argentina1995,Argentina,1995,Changes in stocks (petajoules),-6
Argentina2000,Argentina,2000,Changes in stocks (petajoules),-17
Argentina2005,Argentina,2005,Changes in stocks (petajoules),8
Argentina2010,Argentina,2010,Changes in stocks (petajoules),16
Argentina2013,Argentina,2013,Changes in stocks (petajoules),4
Argentina2014,Argentina,2014,Changes in stocks (petajoules),6
Argentina2015,Argentina,2015,Changes in stocks (petajoules),-12
Argentina1990,Argentina,1990,Total supply (petajoules),1928
Argentina1995,Argentina,1995,Total supply (petajoules),2194
Argentina2000,Argentina,2000,Total supply (petajoules),2556
Argentina2005,Argentina,2005,Total supply (petajoules),2919
Argentina2010,Argentina,2010,Total supply (petajoules),3307
Argentina2013,Argentina,2013,Total supply (petajoules),3379
Argentina2014,Argentina,2014,Total supply (petajoules),3519
Argentina2015,Argentina,2015,Total supply (petajoules),3610
Argentina1990,Argentina,1990,Supply per capita (gigajoules),59
Argentina1995,Argentina,1995,Supply per capita (gigajoules),63
Argentina2000,Argentina,2000,Supply per capita (gigajoules),69
Argentina2005,Argentina,2005,Supply per capita (gigajoules),75
Argentina2010,Argentina,2010,Supply per capita (gigajoules),80
Argentina2013,Argentina,2013,Supply per capita (gigajoules),79
Argentina2014,Argentina,2014,Supply per capita (gigajoules),82
Argentina2015,Argentina,2015,Supply per capita (gigajoules),83
Armenia1995,Armenia,1995,Primary energy production (petajoules),10
Armenia2000,Armenia,2000,Primary energy production (petajoules),27
Armenia2005,Armenia,2005,Primary energy production (petajoules),36
Armenia2010,Armenia,2010,Primary energy production (petajoules),52
Armenia2013,Armenia,2013,Primary energy production (petajoules),47
Armenia2014,Armenia,2014,Primary energy production (petajoules),50
Armenia2015,Armenia,2015,Primary energy production (petajoules),46
Armenia1995,Armenia,1995,Net imports [Imports - Exports - Bunkers] (petajoules),59
Armenia2000,Armenia,2000,Net imports [Imports - Exports - Bunkers] (petajoules),57
Armenia2005,Armenia,2005,Net imports [Imports - Exports - Bunkers] (petajoules),69
Armenia2010,Armenia,2010,Net imports [Imports - Exports - Bunkers] (petajoules),70
Armenia2013,Armenia,2013,Net imports [Imports - Exports - Bunkers] (petajoules),90
Armenia2014,Armenia,2014,Net imports [Imports - Exports - Bunkers] (petajoules),91
Armenia2015,Armenia,2015,Net imports [Imports - Exports - Bunkers] (petajoules),84
Armenia2010,Armenia,2010,Changes in stocks (petajoules),3
Armenia2015,Armenia,2015,Changes in stocks (petajoules),1
Armenia1995,Armenia,1995,Total supply (petajoules),68
Armenia2000,Armenia,2000,Total supply (petajoules),84
Armenia2005,Armenia,2005,Total supply (petajoules),105
Armenia2010,Armenia,2010,Total supply (petajoules),119
Armenia2013,Armenia,2013,Total supply (petajoules),138
Armenia2014,Armenia,2014,Total supply (petajoules),141
Armenia2015,Armenia,2015,Total supply (petajoules),129
Armenia1995,Armenia,1995,Supply per capita (gigajoules),21
Armenia2000,Armenia,2000,Supply per capita (gigajoules),27
Armenia2005,Armenia,2005,Supply per capita (gigajoules),34
Armenia2010,Armenia,2010,Supply per capita (gigajoules),40
Armenia2013,Armenia,2013,Supply per capita (gigajoules),46
Armenia2014,Armenia,2014,Supply per capita (gigajoules),47
Armenia2015,Armenia,2015,Supply per capita (gigajoules),43
Aruba1990,Aruba,1990,Primary energy production (petajoules),0
Aruba1995,Aruba,1995,Primary energy production (petajoules),0
Aruba2000,Aruba,2000,Primary energy production (petajoules),5
Aruba2005,Aruba,2005,Primary energy production (petajoules),5
Aruba2010,Aruba,2010,Primary energy production (petajoules),5
Aruba2013,Aruba,2013,Primary energy production (petajoules),1
Aruba2014,Aruba,2014,Primary energy production (petajoules),1
Aruba2015,Aruba,2015,Primary energy production (petajoules),1
Aruba1990,Aruba,1990,Net imports [Imports - Exports - Bunkers] (petajoules),7
Aruba1995,Aruba,1995,Net imports [Imports - Exports - Bunkers] (petajoules),10
Aruba2000,Aruba,2000,Net imports [Imports - Exports - Bunkers] (petajoules),21
Aruba2005,Aruba,2005,Net imports [Imports - Exports - Bunkers] (petajoules),26
Aruba2010,Aruba,2010,Net imports [Imports - Exports - Bunkers] (petajoules),23
Aruba2013,Aruba,2013,Net imports [Imports - Exports - Bunkers] (petajoules),12
Aruba2014,Aruba,2014,Net imports [Imports - Exports - Bunkers] (petajoules),12
Aruba2015,Aruba,2015,Net imports [Imports - Exports - Bunkers] (petajoules),12
Aruba1990,Aruba,1990,Changes in stocks (petajoules),0
Aruba1990,Aruba,1990,Total supply (petajoules),7
Aruba1995,Aruba,1995,Total supply (petajoules),10
Aruba2000,Aruba,2000,Total supply (petajoules),26
Aruba2005,Aruba,2005,Total supply (petajoules),30
Aruba2010,Aruba,2010,Total supply (petajoules),28
Aruba2013,Aruba,2013,Total supply (petajoules),12
Aruba2014,Aruba,2014,Total supply (petajoules),12
Aruba2015,Aruba,2015,Total supply (petajoules),13
Aruba1990,Aruba,1990,Supply per capita (gigajoules),108
Aruba1995,Aruba,1995,Supply per capita (gigajoules),121
Aruba2000,Aruba,2000,Supply per capita (gigajoules),284
Aruba2005,Aruba,2005,Supply per capita (gigajoules),299
Aruba2010,Aruba,2010,Supply per capita (gigajoules),273
